model,reference_price_nok,price_source,price_match_count,existing_car,foregone_resale_value_nok,reference_year,reference_model_year,reference_km,reliability_score,reliability_evidence_score,technical_robustness,reliability_confidence,known_repairs_nok,maintenance_nok,energy_nok,depreciation_nok,opportunity_cost_nok,total_cost_nok,cost_per_month_nok
Toyota RAV4 Hybrid,280000,manual,0,False,0,2018,2018,80000,81.8,95.2,83.8,79.5,0,27624,50824,74732,29116,182296,5064
Toyota Avensis,0,existing_car,0,True,50000,2012,2012,182000,60.0,92.4,83.2,49.0,20000,59693,70380,0,8400,188473,5235
Toyota RAV4 Hybrid,320000,manual,0,False,0,2020,2019,100000,81.7,95.2,83.8,79.5,0,27638,50824,85472,33272,197206,5478
Mitsubishi Outlander PHEV,260000,finn_cached,1,False,0,2020,2020,60000,73.8,85.2,64.2,71.5,0,43508,37364,103259,25004,209135,5809
Tesla Model Y,361266,finn_cached,9,False,0,2021,2021,62966,82.8,94.26,74.0,70.22,0,26959,12150,139655,34973,213737,5937
Mazda CX-5 diesel AWD,209266,finn_cached,4,False,0,2016,2016,85700,68.2,86.7,70.2,69.88,0,43474,57420,107935,18636,227465,6318
Skoda Superb 2.0 TDI 4x4,269716,finn_cached,9,False,0,2018,2018,129000,69.2,94.0,60.0,73.5,0,49690,62370,126187,24795,263042,7307
Volkswagen Passat GTE,239900,finn_cached,4,False,0,2020,2020,70468,66.9,80.52,51.8,72.95,0,53971,66398,124694,21306,266369,7399
Mercedes EQC,327850,finn_cached,19,False,0,2020,2020,106500,63.8,82.2,55.6,57.5,0,46004,16200,176924,28727,267855,7440
Mercedes GLC 300e 4MATIC,430000,finn_cached,16,False,0,2020,2020,70500,82.4,96.34,69.2,83.03,0,41679,35190,172946,41223,291038,8084
Skoda Kodiaq 2.0 TDI 4x4,359450,finn_cached,10,False,0,2018,2018,126386,70.9,92.82,65.4,76.83,0,47240,65340,171129,32866,316575,8794
